date,level,country,lat,long,population,tz,state_abbr
2020-01-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-31,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-02-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-03-31,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
