dates,confirmedCases,deaths,Year,Month,Weekday_name,tests,positives,recovered,hosp,icu,vent,population,cfr,cmr,positiveRateTest
2020-01-25,0.0,0.0,2020,1,Saturday,0,0,0,0,0,0,25459470,,0.0,
2020-01-26,4.0,0.0,2020,1,Sunday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-01-27,5.0,0.0,2020,1,Monday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-01-28,5.0,0.0,2020,1,Tuesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-01-29,6.0,0.0,2020,1,Wednesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-01-30,9.0,0.0,2020,1,Thursday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-01-31,9.0,0.0,2020,1,Friday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-01,12.0,0.0,2020,2,Saturday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-02,12.0,0.0,2020,2,Sunday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-03,12.0,0.0,2020,2,Monday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-04,13.0,0.0,2020,2,Tuesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-05,13.0,0.0,2020,2,Wednesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-06,14.0,0.0,2020,2,Thursday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-07,15.0,0.0,2020,2,Friday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-08,15.0,0.0,2020,2,Saturday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-09,15.0,0.0,2020,2,Sunday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-10,15.0,0.0,2020,2,Monday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-11,15.0,0.0,2020,2,Tuesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-12,15.0,0.0,2020,2,Wednesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-13,15.0,0.0,2020,2,Thursday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-21,15.0,0.0,2020,2,Friday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-22,15.0,0.0,2020,2,Saturday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-23,15.0,0.0,2020,2,Sunday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-24,15.0,0.0,2020,2,Monday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-25,15.0,0.0,2020,2,Tuesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-26,15.0,0.0,2020,2,Wednesday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-27,15.0,0.0,2020,2,Thursday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-28,15.0,0.0,2020,2,Friday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-02-29,25.0,0.0,2020,2,Saturday,0,0,0,0,0,0,25459470,0.0,0.0,
2020-03-01,27.0,1.0,2020,3,Sunday,0,28,0,0,0,0,25459470,3.7037037037037033,3.927811537317941e-06,inf
2020-03-02,30.0,1.0,2020,3,Monday,0,32,0,0,0,0,25459470,3.3333333333333335,3.927811537317941e-06,inf
2020-03-03,39.0,1.0,2020,3,Tuesday,0,40,0,0,0,0,25459470,2.564102564102564,3.927811537317941e-06,inf
2020-03-04,52.0,2.0,2020,3,Wednesday,0,51,0,0,0,0,25459470,3.8461538461538463,7.855623074635882e-06,inf
2020-03-05,55.0,2.0,2020,3,Thursday,0,59,0,0,0,0,25459470,3.6363636363636362,7.855623074635882e-06,inf
2020-03-06,60.0,2.0,2020,3,Friday,0,63,0,0,0,0,25459470,3.3333333333333335,7.855623074635882e-06,inf
2020-03-07,63.0,2.0,2020,3,Saturday,7214,73,0,0,0,0,25459470,3.1746031746031744,7.855623074635882e-06,1.0119212642084836
2020-03-08,76.0,3.0,2020,3,Sunday,8008,80,0,0,0,0,25459470,3.9473684210526314,1.1783434611953823e-05,0.999000999000999
2020-03-09,91.0,3.0,2020,3,Monday,8371,92,0,0,0,0,25459470,3.296703296703297,1.1783434611953823e-05,1.099032373671007
2020-03-10,107.0,3.0,2020,3,Tuesday,10165,112,0,0,0,0,25459470,2.803738317757009,1.1783434611953823e-05,1.1018199704869651
2020-03-11,128.0,3.0,2020,3,Wednesday,10221,127,0,0,0,0,25459470,2.34375,1.1783434611953823e-05,1.2425398688973681
2020-03-12,128.0,3.0,2020,3,Thursday,14856,157,0,0,0,0,25459470,2.34375,1.1783434611953823e-05,1.0568120624663435
2020-03-13,200.0,3.0,2020,3,Friday,16685,198,0,0,0,0,25459470,1.5,1.1783434611953823e-05,1.1866946359005095
2020-03-14,250.0,3.0,2020,3,Saturday,20496,249,0,0,0,0,25459470,1.2,1.1783434611953823e-05,1.214871194379391
2020-03-15,297.0,3.0,2020,3,Sunday,22567,297,0,0,0,0,25459470,1.0101010101010102,1.1783434611953823e-05,1.316081003234812
2020-03-16,377.0,3.0,2020,3,Monday,38664,376,0,0,0,0,25459470,0.7957559681697612,1.1783434611953823e-05,0.9724808607490173
2020-03-17,452.0,5.0,2020,3,Tuesday,44444,454,0,0,0,0,25459470,1.1061946902654867,1.9639057686589707e-05,1.021510215102151
2020-03-18,568.0,6.0,2020,3,Wednesday,51000,567,0,0,0,0,25459470,1.056338028169014,2.3566869223907645e-05,1.111764705882353
2020-03-19,681.0,6.0,2020,3,Thursday,83333,709,28,0,0,0,25459470,0.881057268722467,2.3566869223907645e-05,0.8508034032136128
2020-03-20,791.0,7.0,2020,3,Friday,91399,847,39,0,0,0,25459470,0.8849557522123894,2.7494680761225587e-05,0.9267059814658803
2020-03-21,1071.0,7.0,2020,3,Saturday,100284,1072,51,0,0,0,25459470,0.6535947712418301,2.7494680761225587e-05,1.0689641418371825
2020-03-22,1490.0,7.0,2020,3,Sunday,109286,1352,70,0,0,0,25459470,0.4697986577181208,2.7494680761225587e-05,1.237120948703402
2020-03-23,1682.0,7.0,2020,3,Monday,115643,1680,97,0,0,0,25459470,0.4161712247324614,2.7494680761225587e-05,1.452746815630864
2020-03-24,2044.0,8.0,2020,3,Tuesday,123200,2050,113,0,0,0,25459470,0.3913894324853229,3.142249229854353e-05,1.6639610389610389
2020-03-25,2364.0,8.0,2020,3,Wednesday,156086,2430,129,0,0,0,25459470,0.338409475465313,3.142249229854353e-05,1.556834053022052
