dates,confirmedCases,deaths,tests,positives,recovered,hosp,icu,vent,population,administrative_area_level_1,administrative_area_level_2,state_abbrev,Month,Day,cfr,cmr,positiveRateTest
2020-01-25,0,0,0,0,0,0,0,0,428060,Australia,Australian Capital Territory,ACT,1,Saturday,,0.0,
2020-01-25,3,0,0,0,0,0,0,0,8117976,Australia,New South Wales,NSW,1,Saturday,0.0,0.0,
2020-01-25,0,0,0,0,0,0,0,0,245562,Australia,Northern Territory,NT,1,Saturday,,0.0,
2020-01-25,0,0,0,0,0,0,0,0,5115451,Australia,Queensland,QLD,1,Saturday,,0.0,
2020-01-25,0,0,0,0,0,0,0,0,1756494,Australia,South Australia,SA,1,Saturday,,0.0,
2020-01-25,0,0,0,0,0,0,0,0,535500,Australia,Tasmania,TAS,1,Saturday,,0.0,
2020-01-25,1,0,0,0,0,0,0,0,6629870,Australia,Victoria,VIC,1,Saturday,0.0,0.0,
2020-01-25,0,0,0,0,0,0,0,0,2630557,Australia,Western Australia,WA,1,Saturday,,0.0,
2020-01-27,4,0,0,0,0,0,0,0,8117976,Australia,New South Wales,NSW,1,Monday,0.0,0.0,
2020-01-29,2,0,0,0,0,0,0,0,5115451,Australia,Queensland,QLD,1,Wednesday,0.0,0.0,
2020-01-29,3,0,0,0,0,0,0,0,6629870,Australia,Victoria,VIC,1,Wednesday,0.0,0.0,
2020-02-01,4,0,0,0,0,0,0,0,6629870,Australia,Victoria,VIC,2,Saturday,0.0,0.0,
2020-02-02,2,0,0,0,0,0,0,0,1756494,Australia,South Australia,SA,2,Sunday,0.0,0.0,
2020-02-04,3,0,0,0,0,0,0,0,5115451,Australia,Queensland,QLD,2,Tuesday,0.0,0.0,
2020-02-05,4,0,0,0,0,0,0,0,5115451,Australia,Queensland,QLD,2,Wednesday,0.0,0.0,
2020-02-06,5,0,0,0,0,0,0,0,5115451,Australia,Queensland,QLD,2,Thursday,0.0,0.0,
2020-02-21,7,0,0,0,0,0,0,0,5115451,Australia,Queensland,QLD,2,Friday,0.0,0.0,
2020-02-21,3,0,0,0,0,0,0,0,1756494,Australia,South Australia,SA,2,Friday,0.0,0.0,
